a,b,c,d,r1,r2,
515.585, 922.305, 227.0, 382495.3330249998, -0.295, -1.494,
180.558, 620.389, 440.0, 67100.43132100004, -1.001, -2.435,
600.629, 562.953, 124.0, 19004.09620899998, -0.354, -0.583,
325.59, 873.735, 540.0, 60138.45022500015, -0.965, -1.718,
405.244, 482.937, 114.0, 48436.88196899998, -0.324, -0.867,
132.251, 376.23, 253.0, 7711.0008999999845, -1.09, -1.754,
400.034, 802.174, 13.0, 622681.3582759999, -0.016, -1.989,
498.41, 218.93, 4.0, 39955.784900000006, -0.019, -0.42,
79.477, 836.533, 344.0, 590427.1080890001, -0.429, -10.097,
118.556, 850.292, 235.0, 611553.845264, -0.288, -6.884,
115.642, 159.668, 48.0, 3290.606224000003, -0.442, -0.938,
447.101, 785.934, 96.0, 446005.4683559999, -0.132, -1.626,
263.402, 882.934, 491.0, 262250.9203559999, -0.704, -2.648,
137.084, 400.49, 277.0, 8503.16809999998, -1.124, -1.797,
167.551, 848.277, 754.0, 214240.0527290001, -1.15, -3.913,
149.328, 808.651, 805.0, 173080.2798009999, -1.315, -4.101,
46.653, 754.919, 942.0, 394114.192561, -1.363, -14.819,
229.978, 642.439, 350.0, 90758.66872099997, -0.742, -2.052,
15.393, 486.33, 714.0, 192554.46089999998, -1.544, -30.051,
607.861, 824.151, 110.0, 411766.03080099996, -0.15, -1.206,
981.94, 318.424, 1.0, 97466.08377599998, -0.003, -0.321,
753.169, 656.516, 123.0, 60454.110255999956, -0.273, -0.599,
61.769, 269.977, 95.0, 49415.36052899998, -0.386, -3.985,
867.195, 626.502, 26.0, 302316.47600399994, -0.044, -0.678,
913.738, 949.904, 217.0, 109193.02521599992, -0.339, -0.701,
492.797, 727.867, 247.0, 42906.93368899991, -0.528, -0.949,
668.442, 877.134, 17.0, 723909.997956, -0.02, -1.293,
238.791, 807.281, 590.0, 88155.85296099994, -1.069, -2.312,
165.666, 787.075, 726.0, 138392.99162500002, -1.253, -3.498,
909.448, 452.434, 17.0, 142854.060356, -0.041, -0.457,
81.756, 673.724, 251.0, 371821.004176, -0.391, -7.85,
847.165, 996.578, 56.0, 803402.7500839999, -0.059, -1.117,
559.068, 506.933, 35.0, 178711.54648899997, -0.075, -0.831,
221.94, 840.276, 447.0, 309235.0361759999, -0.64, -3.146,
74.874, 710.454, 769.0, 274432.46211599995, -1.246, -8.243,
345.038, 919.88, 119.0, 681941.1264, -0.136, -2.53,
228.978, 904.635, 893.0, 455.06722499988973, -1.929, -2.022,
713.25, 663.684, 74.0, 229354.45185599994, -0.13, -0.801,
206.84, 807.112, 270.0, 428042.58054399997, -0.37, -3.533,
375.244, 970.593, 351.0, 415208.1956489999, -0.435, -2.152,
267.485, 793.959, 371.0, 233423.15368099982, -0.581, -2.387,
70.472, 590.851, 92.0, 323171.208201, -0.159, -8.225,
865.533, 574.872, 67.0, 98514.97238399994, -0.151, -0.513,
759.484, 830.247, 142.0, 257923.16900899995, -0.212, -0.881,
99.195, 916.452, 948.0, 463736.828304, -1.187, -8.052,
727.811, 817.379, 229.0, 1433.5536409999477, -0.536, -0.588,
649.127, 819.267, 172.0, 224599.04128900013, -0.266, -0.996,
81.307, 826.051, 777.0, 429658.0986010001, -1.049, -9.111,
90.543, 900.134, 48.0, 792856.961956, -0.054, -9.888,
612.887, 956.255, 268.0, 257408.761025, -0.366, -1.194,
228.754, 486.685, 24.0, 214901.90522500002, -0.051, -2.077,
16.838, 485.619, 107.0, 228619.14916100004, -0.222, -28.619,
818.059, 951.561, 29.0, 810573.492721, -0.031, -1.132,
233.709, 867.842, 472.0, 311907.1449639999, -0.662, -3.052,
106.86, 980.296, 526.0, 736146.8076160001, -0.572, -8.601,
155.404, 975.248, 224.0, 811866.677504, -0.239, -6.037,
127.275, 964.275, 111.0, 873316.175625, -0.117, -7.459,
89.647, 796.196, 865.0, 323749.4504160001, -1.267, -7.614,
264.578, 825.713, 581.0, 66922.686369, -1.072, -2.049,
394.638, 760.718, 294.0, 114597.58752399991, -0.535, -1.393,
274.963, 847.35, 393.0, 285760.18650000007, -0.569, -2.513,
332.922, 800.711, 65.0, 554578.385521, -0.084, -2.321,
75.215, 464.4, 142.0, 172945.24, -0.323, -5.852,
283.903, 858.476, 210.0, 498502.52257599996, -0.268, -2.755,
653.062, 843.253, 242.0, 78911.60600899998, -0.431, -0.861,
256.766, 761.211, 343.0, 227159.23452099995, -0.554, -2.41,
138.405, 830.101, 505.0, 409489.57020099997, -0.687, -5.311,
129.514, 484.928, 238.0, 111857.83718399997, -0.581, -3.163,
234.078, 726.747, 389.0, 163935.83400899987, -0.687, -2.417,
722.75, 814.308, 71.0, 457836.518864, -0.095, -1.031,
48.534, 903.975, 905.0, 641477.7206250001, -1.062, -17.564,
22.324, 483.717, 514.0, 188083.99208899998, -1.121, -20.547,
5.213, 729.027, 477.0, 521533.96272900014, -0.657, -139.19,
700.195, 519.206, 22.0, 207957.710436, -0.045, -0.696,
991.318, 917.839, 17.0, 775018.8059210002, -0.019, -0.907,
1.832, 620.004, 29.0, 384192.44801600004, -0.047, -338.383,
97.297, 367.957, 195.0, 59500.693849, -0.637, -3.144,
125.329, 698.832, 351.0, 312404.248224, -0.558, -5.018,
18.39, 788.713, 295.0, 600367.996369, -0.377, -42.511,
80.651, 350.137, 210.0, 54849.078769, -0.719, -3.623,
89.541, 813.285, 125.0, 616661.991225, -0.156, -8.926,
881.409, 674.692, 86.0, 152004.598864, -0.162, -0.604,
424.853, 783.643, 307.0, 92376.86744900007, -0.565, -1.28,
28.901, 597.858, 860.0, 258014.74816399993, -1.555, -19.131,
38.244, 765.453, 580.0, 497192.215209, -0.789, -19.226,
31.484, 901.219, 222.0, 784237.893961, -0.248, -28.376,
103.743, 997.591, 779.0, 671924.615281, -0.857, -8.759,
909.562, 801.363, 88.0, 322016.833769, -0.129, -0.752,
30.013, 234.89, 135.0, 38966.29209999999, -0.625, -7.202,
793.059, 513.319, 11.0, 228601.79976099994, -0.022, -0.625,
396.29, 501.999, 37.0, 193352.076001, -0.079, -1.188,
685.388, 856.65, 14.0, 695467.4944999999, -0.017, -1.233,
144.293, 989.916, 486.0, 699428.0950560002, -0.532, -6.328,
15.227, 410.934, 554.0, 135123.720356, -1.423, -25.564,
487.08, 824.114, 259.0, 174549.0049960001, -0.417, -1.275,
196.527, 751.066, 598.0, 94007.55235600012, -1.131, -2.691,
256.885, 896.154, 86.0, 714723.5517160001, -0.099, -3.39,
79.669, 815.293, 159.0, 614033.191849, -0.199, -10.035,
76.902, 739.009, 177.0, 491687.6860810001, -0.246, -9.364,
382.898, 957.942, 486.0, 173299.16336399992, -0.707, -1.795,
279.83, 984.239, 784.0, 91179.52912100009, -1.219, -2.298,
187.866, 512.796, 280.0, 52549.817616000044, -0.755, -1.975,
42.692, 212.114, 145.0, 20230.988996, -0.818, -4.15,
199.194, 908.425, 685.0, 279444.420625, -0.953, -3.607,
42.58, 303.745, 415.0, 21578.225025000007, -1.842, -5.292,
19.432, 63.439, 30.0, 1692.6667210000005, -0.574, -2.691,
12.094, 302.4, 7.0, 91107.12799999998, -0.023, -24.981,
432.241, 978.303, 346.0, 358855.21580899996, -0.439, -1.825,
73.707, 627.978, 628.0, 209204.38448399992, -1.157, -7.363,
216.598, 762.048, 279.0, 338993.78630399995, -0.415, -3.103,
172.661, 921.942, 23.0, 834092.2393639999, -0.025, -5.315,
22.871, 514.934, 368.0, 231490.91235599996, -0.739, -21.776,
317.599, 814.384, 404.0, 149981.31545599998, -0.672, -1.892,
298.038, 898.058, 140.0, 639606.8913639999, -0.165, -2.848,
552.149, 682.613, 178.0, 72830.41976900009, -0.374, -0.863,
298.175, 782.217, 453.0, 71570.33508899994, -0.863, -1.76,
70.296, 251.018, 40.0, 51762.676324, -0.167, -3.404,
119.549, 543.987, 83.0, 256231.58816899997, -0.158, -4.392,
133.349, 864.847, 460.0, 502598.173409, -0.585, -5.901,
454.84, 666.224, 134.0, 200060.17817600007, -0.241, -1.224,
62.514, 637.47, 971.0, 163563.62490000002, -1.864, -8.333,
241.459, 929.054, 548.0, 333863.2069159999, -0.727, -3.12,
84.463, 906.113, 484.0, 657520.400769, -0.564, -10.164,
337.226, 956.962, 186.0, 664880.125444, -0.21, -2.628,
133.604, 798.955, 315.0, 469988.052025, -0.424, -5.556,
145.931, 744.222, 628.0, 187287.71328399994, -1.067, -4.033,
510.621, 863.305, 196.0, 344968.6590249999, -0.27, -1.42,
34.117, 749.091, 715.0, 463562.70628100005, -1.0, -20.956,
919.222, 697.724, 80.0, 192667.7401760001, -0.141, -0.618,
65.79, 676.134, 926.0, 213471.02595599997, -1.627, -8.65,
363.353, 791.812, 155.0, 401687.3833440001, -0.217, -1.962,
257.837, 977.525, 626.0, 309931.277625, -0.816, -2.975,
218.312, 936.084, 454.0, 479798.66305599984, -0.557, -3.73,
29.194, 825.948, 277.0, 649843.146704, -0.339, -27.952,
986.719, 978.155, 1.0, 952840.3280249999, -0.001, -0.99,
136.361, 858.937, 785.0, 309599.22996900004, -1.109, -5.19,
84.407, 576.117, 630.0, 119205.15768899999, -1.368, -5.458,
138.21, 711.595, 727.0, 104452.76402499998, -1.405, -3.744,
139.816, 829.601, 240.0, 554014.459201, -0.305, -5.629,
442.377, 795.214, 68.0, 512038.76179600006, -0.09, -1.708,
327.226, 661.621, 215.0, 156327.987641, -0.407, -1.615,
136.868, 275.297, 85.0, 29253.31820900002, -0.381, -1.631,
886.877, 829.296, 157.0, 130773.0996160002, -0.264, -0.671,
674.105, 947.872, 327.0, 16731.98838399991, -0.607, -0.799,
475.955, 727.659, 56.0, 422873.70028100006, -0.081, -1.448,
136.766, 489.586, 340.0, 53692.69139600004, -0.943, -2.637,
299.553, 360.534, 7.0, 121597.281156, -0.02, -1.184,
13.415, 979.12, 500.0, 931845.9744000001, -0.514, -72.473,
262.101, 877.965, 430.0, 320008.8212250001, -0.596, -2.754,
611.033, 359.124, 36.0, 40981.29537600001, -0.128, -0.46,
260.221, 931.828, 343.0, 511280.209584, -0.417, -3.164,
783.98, 869.732, 214.0, 85346.87182399991, -0.368, -0.741,
50.092, 710.29, 256.0, 453217.6761, -0.37, -13.81,
225.639, 732.393, 421.0, 156423.4304490001, -0.747, -2.499,
723.757, 970.026, 321.0, 11646.452675999957, -0.596, -0.745,
257.261, 459.711, 141.0, 66238.99952099999, -0.393, -1.394,
864.547, 861.199, 47.0, 579128.8816009999, -0.058, -0.938,
76.646, 934.116, 952.0, 580704.733456, -1.123, -11.065,
206.62, 555.144, 204.0, 139582.940736, -0.439, -2.247,
572.333, 245.121, 23.0, 7429.668641000004, -0.139, -0.289,
49.647, 457.033, 839.0, 42263.831089000014, -2.532, -6.673,
45.181, 446.415, 794.0, 55791.49622500001, -2.326, -7.554,
124.046, 845.023, 824.0, 305208.254529, -1.179, -5.633,
99.888, 429.647, 237.0, 89902.720609, -0.65, -3.652,
663.015, 975.626, 297.0, 164184.27187599998, -0.43, -1.041,
207.923, 945.529, 486.0, 489822.77784100006, -0.591, -3.957,
11.778, 916.014, 796.0, 801580.496196, -0.879, -76.894,
35.254, 380.586, 854.0, 24418.039396000007, -3.182, -7.614,
422.866, 999.133, 68.0, 883247.199689, -0.07, -2.293,
655.346, 685.622, 176.0, 8713.942883999902, -0.452, -0.594,
161.365, 980.234, 382.0, 714292.9747560001, -0.419, -5.656,
30.705, 328.023, 722.0, 18923.04852900002, -3.101, -7.582,
262.228, 670.64, 375.0, 56416.00959999999, -0.826, -1.732,
848.746, 583.089, 38.0, 210983.38992100005, -0.073, -0.614,
52.387, 300.223, 379.0, 10715.157729000013, -1.877, -3.853,
207.618, 959.085, 330.0, 645788.2772250001, -0.374, -4.245,
666.33, 488.893, 31.0, 156391.445449, -0.07, -0.664,
125.526, 610.414, 60.0, 342479.011396, -0.1, -4.762,
15.657, 635.775, 208.0, 391183.22662499995, -0.33, -40.277,
9.396, 325.006, 410.0, 90219.46003599997, -1.311, -33.279,
90.395, 750.574, 786.0, 279159.4494759999, -1.229, -7.074,
752.224, 989.441, 150.0, 527659.092481, -0.175, -1.141,
870.714, 940.952, 131.0, 429136.5303039999, -0.164, -0.917,
259.121, 979.526, 723.0, 210093.252676, -1.006, -2.775,
394.999, 954.642, 336.0, 380462.692164, -0.428, -1.989,
98.121, 906.467, 701.0, 546551.138089, -0.852, -8.386,
504.166, 472.094, 84.0, 53472.968835999985, -0.239, -0.698,
147.602, 729.632, 273.0, 371181.471424, -0.408, -4.535,
394.563, 775.836, 116.0, 418844.266896, -0.163, -1.803,
88.281, 604.01, 770.0, 92922.60009999992, -1.694, -5.147,
192.444, 896.593, 74.0, 746915.5836489999, -0.084, -4.575,
338.048, 874.24, 499.0, 89551.7696, -0.85, -1.736,
970.178, 789.541, 84.0, 297395.18268100003, -0.126, -0.688,
19.174, 611.202, 355.0, 346340.80480399996, -0.592, -31.285,
2.781, 169.417, 131.0, 27244.875889000003, -0.783, -60.136,
142.769, 837.445, 499.0, 416347.2040250001, -0.673, -5.193,
78.983, 690.002, 412.0, 345938.7760039999, -0.645, -8.091,
87.982, 885.372, 584.0, 578357.6263839998, -0.71, -9.353,
136.439, 936.09, 323.0, 699985.3001000001, -0.364, -6.496,
59.834, 991.035, 636.0, 829932.6752249999, -0.669, -15.894,
307.244, 958.577, 272.0, 584588.3929290001, -0.316, -2.804,
357.832, 837.883, 434.0, 80851.56968900014, -0.773, -1.568,
424.138, 759.935, 304.0, 61749.39622499992, -0.603, -1.189,
177.841, 676.082, 420.0, 158313.99072399997, -0.782, -3.019,
211.16, 712.661, 443.0, 133710.1809209999, -0.822, -2.553,
267.748, 438.058, 70.0, 116925.37136399999, -0.179, -1.457,
3.795, 587.696, 618.0, 336005.348416, -1.059, -153.802,
143.096, 822.419, 142.0, 595094.483561, -0.178, -5.569,
167.751, 515.844, 180.0, 145314.31233600006, -0.401, -2.674,
451.451, 605.923, 48.0, 280464.089929, -0.085, -1.258,
177.611, 252.658, 17.0, 51758.516963999995, -0.071, -1.352,
665.573, 606.906, 74.0, 171325.28483599995, -0.145, -0.767,
168.277, 995.101, 746.0, 488087.43220100005, -0.881, -5.033,
132.444, 465.835, 368.0, 22044.679225, -1.198, -2.319,
58.55, 377.893, 564.0, 10714.319449000002, -2.343, -4.111,
225.901, 698.811, 433.0, 97076.28172100004, -0.857, -2.236,
40.411, 884.062, 159.0, 755864.223844, -0.181, -21.695,
519.071, 690.966, 48.0, 377772.38115599996, -0.074, -1.258,
68.681, 416.77, 105.0, 144851.21289999998, -0.263, -5.805,
23.356, 542.646, 580.0, 240278.76131599993, -1.123, -22.111,
3.883, 482.025, 257.0, 228356.376625, -0.535, -123.602,
480.207, 987.758, 276.0, 445517.338564, -0.333, -1.723,
96.765, 972.313, 345.0, 811856.8699689999, -0.368, -9.68,
602.998, 714.836, 116.0, 231199.43489599996, -0.194, -0.991,
322.884, 568.02, 147.0, 132790.92839999998, -0.315, -1.444,
345.251, 943.253, 634.0, 14169.686009000172, -1.194, -1.538,
526.768, 774.326, 43.0, 508976.65827600006, -0.058, -1.412,
500.176, 678.744, 32.0, 396670.88953600003, -0.049, -1.308,
444.989, 903.796, 230.0, 407457.32961600006, -0.298, -1.733,
131.17, 653.429, 80.0, 384995.0580409999, -0.126, -4.856,
76.744, 983.816, 711.0, 749633.9858560001, -0.769, -12.051,
467.293, 891.005, 253.0, 320989.394025, -0.347, -1.56,
72.017, 669.599, 919.0, 183628.32880100008, -1.674, -7.624,
326.447, 802.918, 47.0, 583305.2787240001, -0.06, -2.4,
947.605, 729.481, 105.0, 134148.4293609999, -0.192, -0.578,
904.654, 546.999, 15.0, 244928.66600100003, -0.029, -0.576,
423.436, 476.192, 75.0, 99728.02086400002, -0.189, -0.935,
79.141, 390.165, 317.0, 51877.93922500001, -1.026, -3.904,
509.627, 867.01, 213.0, 317504.1361, -0.298, -1.403,
15.056, 325.825, 914.0, 51117.194625, -3.312, -18.329,
80.995, 961.281, 496.0, 763367.0809609999, -0.541, -11.328,
659.046, 594.022, 96.0, 99788.47248400006, -0.211, -0.69,
204.071, 431.42, 0.0, 186123.2164, 0.0, -2.114,
182.788, 559.049, 172.0, 186777.64040099995, -0.347, -2.711,
568.317, 983.567, 215.0, 478651.42348900007, -0.257, -1.474,
687.409, 368.806, 21.0, 78275.50963599997, -0.065, -0.472,
703.03, 994.685, 3.0, 980961.8892249999, -0.003, -1.412,
312.685, 887.996, 585.0, 56853.99601599993, -1.039, -1.801,
254.839, 431.114, 101.0, 82904.32499599998, -0.281, -1.411,
70.882, 801.641, 169.0, 594712.060881, -0.215, -11.095,
536.343, 995.338, 17.0, 954226.4102439999, -0.017, -1.839,
174.168, 892.155, 611.0, 370273.95202499995, -0.814, -4.308,
107.744, 631.095, 86.0, 361216.96302500006, -0.14, -5.718,
484.921, 874.647, 134.0, 505089.7186090001, -0.169, -1.635,
16.172, 687.484, 327.0, 451481.274256, -0.481, -42.03,
5.906, 401.683, 409.0, 151687.016489, -1.034, -66.979,
170.08, 876.462, 845.0, 193315.23744399997, -1.284, -3.869,
198.788, 769.384, 327.0, 331937.035456, -0.486, -3.384,
133.615, 767.579, 268.0, 445942.2412409999, -0.373, -5.371,
543.764, 649.03, 191.0, 5804.244899999991, -0.527, -0.667,
886.636, 832.118, 79.0, 412243.3899240001, -0.107, -0.831,
86.724, 921.896, 879.0, 544970.6508159998, -1.059, -9.571,
489.939, 793.118, 194.0, 248843.49792400014, -0.3, -1.318,
389.15, 836.604, 390.0, 92832.25281600002, -0.683, -1.466,
216.53, 787.662, 182.0, 462777.5862440001, -0.248, -3.39,
256.861, 720.052, 216.0, 296546.97870400007, -0.342, -2.462,
313.655, 788.48, 217.0, 349448.1704, -0.315, -2.199,
474.926, 971.896, 140.0, 678623.2748159999, -0.156, -1.89,
206.457, 714.467, 574.0, 36437.822088999965, -1.268, -2.193,
89.65, 943.963, 201.0, 818987.5453689999, -0.217, -10.312,
691.066, 663.421, 4.0, 429070.36724100006, -0.006, -0.954,
132.879, 348.376, 90.0, 73529.39737599998, -0.291, -2.331,
52.089, 947.573, 556.0, 782048.6543289999, -0.607, -17.584,
267.911, 610.35, 293.0, 58535.430500000075, -0.688, -1.591,
128.576, 705.516, 712.0, 131568.378256, -1.333, -4.154,
47.698, 945.922, 58.0, 883702.494084, -0.062, -19.77,
538.691, 643.495, 75.0, 252478.515025, -0.131, -1.064,
600.864, 786.568, 24.0, 561006.274624, -0.031, -1.278,
516.634, 378.582, 38.0, 64795.962724, -0.12, -0.613,
93.884, 526.115, 510.0, 85273.63322499997, -1.247, -4.357,
428.986, 986.902, 283.0, 488363.4056040001, -0.336, -1.965,
52.227, 576.127, 160.0, 298497.040129, -0.285, -10.746,
489.418, 970.494, 227.0, 497467.0600360001, -0.271, -1.712,
284.803, 777.442, 219.0, 354928.6353640001, -0.319, -2.411,
65.878, 689.673, 541.0, 333088.854929, -0.854, -9.615,
303.967, 989.53, 760.0, 55109.940900000045, -1.242, -2.014,
116.297, 662.293, 860.0, 38570.337849, -2.003, -3.692,
68.765, 268.02, 234.0, 7470.68039999999, -1.32, -2.577,
886.746, 664.519, 117.0, 26588.373361000034, -0.283, -0.467,
599.267, 838.384, 212.0, 194709.31545599998, -0.331, -1.068,
107.018, 544.576, 421.0, 116344.707776, -0.951, -4.138,
401.058, 936.145, 453.0, 149650.36502499995, -0.685, -1.649,
136.113, 494.56, 179.0, 147132.6856, -0.408, -3.226,
73.516, 767.782, 137.0, 549202.431524, -0.182, -10.262,
103.792, 944.45, 749.0, 581024.9705, -0.878, -8.222,
126.141, 964.354, 986.0, 432478.5333160001, -1.216, -6.429,
431.208, 859.282, 400.0, 48432.75552400004, -0.741, -1.252,
71.978, 839.463, 500.0, 560742.1283689999, -0.63, -11.033,
649.151, 288.785, 8.0, 62623.944225000014, -0.03, -0.415,
71.083, 896.472, 203.0, 745942.650784, -0.231, -12.381,
349.479, 453.592, 117.0, 42189.53046399998, -0.355, -0.943,
251.565, 581.148, 184.0, 152581.15790400005, -0.379, -1.931,
452.166, 916.149, 47.0, 754321.782201, -0.053, -1.973,
369.21, 885.062, 117.0, 610544.463844, -0.14, -2.257,
452.205, 713.364, 104.0, 320770.916496, -0.163, -1.415,
118.561, 905.379, 87.0, 778451.905641, -0.097, -7.539,
685.367, 984.976, 353.0, 2439.51657600014, -0.683, -0.755,
32.776, 905.166, 481.0, 756264.4635560001, -0.542, -27.075,
164.066, 166.404, 34.0, 5377.315215999999, -0.284, -0.731,
115.481, 797.477, 865.0, 236405.305529, -1.348, -5.558,
124.873, 737.272, 474.0, 306810.7939840001, -0.734, -5.17,
88.15, 788.029, 535.0, 432348.704841, -0.74, -8.199,
21.99, 973.873, 436.0, 910078.0601290001, -0.452, -43.835,
964.389, 922.997, 155.0, 254002.28200899984, -0.217, -0.74,
44.802, 528.947, 12.0, 277634.432809, -0.023, -11.784,
10.484, 539.672, 613.0, 265539.09958400007, -1.162, -50.314,
155.412, 349.647, 168.0, 17816.160609, -0.695, -1.554,
27.222, 581.12, 132.0, 323327.2384, -0.23, -21.118,
268.33, 582.106, 298.0, 18998.035236000025, -0.828, -1.342,
238.067, 787.953, 376.0, 262817.162209, -0.578, -2.732,
660.479, 980.758, 302.0, 164027.62256399996, -0.436, -1.049,
191.04, 810.058, 444.0, 316906.923364, -0.647, -3.593,
165.896, 394.918, 92.0, 94910.498724, -0.262, -2.119,
173.384, 666.149, 338.0, 209339.32220100003, -0.602, -3.24,
344.502, 742.689, 255.0, 200194.91072099993, -0.429, -1.727,
152.345, 822.317, 372.0, 449515.88848900003, -0.498, -4.899,
135.739, 817.805, 402.0, 450536.70602499985, -0.54, -5.485,
79.305, 780.824, 371.0, 491997.4989759999, -0.501, -9.345,
578.642, 710.862, 172.0, 107219.08704399987, -0.331, -0.897,
57.863, 597.752, 776.0, 177700.7015039999, -1.523, -8.808,
8.744, 587.48, 320.0, 333940.4304, -0.549, -66.637,
33.929, 770.069, 281.0, 554870.068761, -0.371, -22.326,
753.029, 826.22, 134.0, 279015.94440000004, -0.198, -0.899,
64.916, 488.65, 654.0, 68958.56649999999, -1.741, -5.786,
1.864, 956.451, 3.0, 914776.147401, -0.003, -513.114,
19.072, 689.309, 767.0, 416634.0014809999, -1.149, -34.993,
151.872, 385.451, 29.0, 130955.32140100002, -0.078, -2.46,
105.318, 702.101, 454.0, 301688.326201, -0.726, -5.941,
115.516, 801.819, 992.0, 184546.22076099995, -1.611, -5.33,
48.311, 960.353, 534.0, 819085.588609, -0.573, -19.306,
147.69, 776.354, 310.0, 419589.93331600004, -0.435, -4.821,
175.985, 856.002, 560.0, 338533.0240039999, -0.779, -4.085,
156.529, 611.008, 443.0, 95961.38806400006, -0.962, -2.941,
106.913, 692.873, 421.0, 300031.50212900003, -0.679, -5.802,
698.588, 976.684, 34.0, 858903.6678559999, -0.036, -1.362,
411.874, 708.951, 42.0, 433416.68840100005, -0.061, -1.66,
302.563, 944.993, 578.0, 193486.11404900008, -0.835, -2.289,
174.291, 998.883, 585.0, 589926.3076890002, -0.662, -5.069,
2.591, 862.972, 533.0, 739196.660784, -0.619, -332.446,
28.989, 619.83, 986.0, 269856.61290000007, -1.731, -19.651,
399.763, 868.749, 319.0, 244627.2370010001, -0.468, -1.705,
442.726, 929.095, 20.0, 827799.4390250001, -0.022, -2.077,
201.167, 674.965, 411.0, 124859.203225, -0.799, -2.556,
24.433, 597.514, 251.0, 332492.248196, -0.428, -24.028,
196.125, 931.289, 832.0, 214595.201521, -1.193, -3.555,
256.198, 409.882, 145.0, 19408.413923999993, -0.528, -1.072,
275.328, 981.739, 159.0, 788702.856121, -0.17, -3.396,
169.073, 857.082, 793.0, 198289.99872400006, -1.218, -3.852,
355.633, 859.608, 172.0, 494250.4096639999, -0.22, -2.197,
697.623, 936.612, 313.0, 3818.0425439998507, -0.627, -0.716,
41.254, 701.087, 274.0, 446308.597569, -0.4, -16.594,
275.168, 581.023, 259.0, 52513.678529000026, -0.639, -1.472,
75.098, 969.704, 24.0, 933116.4396159998, -0.025, -12.888,
848.494, 979.385, 34.0, 843799.794225, -0.036, -1.118,
116.801, 936.486, 642.0, 577061.060196, -0.757, -7.261,
329.578, 732.811, 65.0, 451321.681721, -0.093, -2.131,
282.175, 903.274, 419.0, 342978.61907599994, -0.563, -2.638,
53.309, 641.482, 27.0, 405741.784324, -0.042, -11.991,
34.479, 591.393, 349.0, 301612.996449, -0.612, -16.54,
716.926, 759.912, 36.0, 474228.903744, -0.05, -1.01,
64.292, 919.975, 990.0, 591757.680625, -1.172, -13.137,
